대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,7,A,마좌 해인이 많이 행복해 보여,마좌
,,,,,,,,,,,,8,B,해인은 언제 데뷔했더라?,
,,,,,,,,,,,,9,A,1995년생으로 2014년에 데뷔했어,
,,,,,,,,,,,,10,B,라붐은 멤버가 다섯 명이지?,
,,,,,,,,,,,,11,A,"응, 솔빈, 해인, 유정, 소연, 지엔이야",
,,,,,,,,,,,,12,B,라붐 멤버들은 어떻게 생각하고 있을까?,
,,,,,,,,,,,,13,A,"해인이 부모가 되는 소감도 밝혔던데, 다들 축하하고 응원할 거 같아",
,,,,,,,,,,,,14,B,해인이 임신하면서 어떤 감정을 느끼고 있을까 궁금하다,
,,,,,,,,,,,,15,A,해인이 감동스러운 기쁨과 동시에 책임감이 굳건해진다고 했어,
,,,,,,,,,,,,16,B,해인이 행복한 시간을 보내고 있다니 너무 좋다,
131726,0095,여자,30,0114,남자,30,,,,콘텐츠 소비,신상출시 편스토랑,1,A,오늘 신상출시 편스토랑 봤어?,
,,,,,,,,,,,,2,B,응! 한지혜 아버지랑 딸의 이야기가 감동적이었어,
,,,,,,,,,,,,3,A,맞아! 아버지가 딸을 위해 요리도 해봤다고 하더라,
,,,,,,,,,,,,4,B,짜짜? 그러면 한지혜도 놀라웠겠다,짜짜
,,,,,,,,,,,,5,A,"응, 한지혜도 아버지를 위해 음식을 만들었어",
,,,,,,,,,,,,6,B,두 사람이 같이 차린 밥상이 레알 좋았어,레알
,,,,,,,,,,,,7,A,한지혜가 아빠와 단둘이 시간을 보낸 일은 거의 없었던 거 같다고 했어,
,,,,,,,,,,,,8,B,아빠도 단둘이 만나는 일은 없었으니까 어색했겠다,
,,,,,,,,,,,,9,A,서로를 위한 음식을 통해 두 사람은 더 가까워진 것 같아,
,,,,,,,,,,,,10,B,그래! 가족들과 같이 있는 것도 좋지만 단둘이 시간을 보내는 것도 소중하다,
,,,,,,,,,,,,11,A,맞아! 가족과 같이 보내는 시간도 소중근데 단둘이 보내는 시간도 필요해,
,,,,,,,,,,,,12,B,그래서 추석 때 가족들과 같이 시간을 보내는 게 좋은 거지,
,,,,,,,,,,,,13,A,맞아! 추석 때는 가족들과 같이 모여서 행복한 시간을 보내는 게 최고야,
,,,,,,,,,,,,14,B,그래서 나도 추석 때 가족들과 같이 맛있는 음식을 먹으러 갈 거야,
,,,,,,,,,,,,15,A,좋은 생각이야! 나도 가족들과 같이 행복한 추석을 보내고 싶어,
,,,,,,,,,,,,16,B,그러면 우리 모두 행복한 추석 보내자!,
021717,0078,여자,20,0103,남자,20,,,,콘텐츠 소비,김우석,1,A,김우석 연기 머박이다!,머박
,,,,,,,,,,,,2,B,응응! 그리고 김우석이 밤이 되었습니다에 출연한다는 소식 들었어?,
,,,,,,,,,,,,3,A,ㅇㅇ! 들었어! 김우석이 유일고 2학년 3반의 반장 준희 역을 맡았대!,
,,,,,,,,,,,,4,B,와~ 김우석이 반장 역할을 맡다니! 기대된다!,
,,,,,,,,,,,,5,A,ㅎㅎ 나도 기대돼! 그리고 김우석이 말했던대로 밤이 되었습니다에서 색다른 모습을 보여줄 거래!,
,,,,,,,,,,,,6,B,와~ 김우석 실력 진짜 레게노다!,레게노
,,,,,,,,,,,,7,A,ㅇㅇ! 웹드라마 트웬티 트웬티에서도 연기력을 보여줬었지!,
,,,,,,,,,,,,8,B,그래 그래! 그리고 불가살이나 핀란드 파파에서도 군더더기 없는 연기력을 선보였다는데!,
,,,,,,,,,,,,9,A,ㅇㅇ! 이번에는 밤이 되었습니다에서 어떤 연기를 보여줄지 기대돼!,
,,,,,,,,,,,,10,B,나도 나도! 그리고 밤이 되었습니다는 올 하반기에 공개된다고 하더라!,
,,,,,,,,,,,,11,A,와~ 기다릴 수가 없어!,
,,,,,,,,,,,,12,B,나도 그래! 그리고 밤이 되었습니다는 하이틴 미스터리 스릴러라고 하더라!,
,,,,,,,,,,,,13,A,오~ 그러면 분명 재밌을 거야!,
,,,,,,,,,,,,14,B,그러면 우리 같이 시청하자!,
,,,,,,,,,,,,15,A,ㅇㅇ! 꼭 같이 볼게!,
,,,,,,,,,,,,16,B,헤헤 그러면 기다릴게!,
199367,0001,남자,20,0148,여자,20,,,,콘텐츠 소비,화면해설,1,A,화면해설 너무 좋아,
,,,,,,,,,,,,2,B,나도 화면해설 좋아해 ㅋㅋ,
,,,,,,,,,,,,3,A,화면해설로 드라마 재밌게 볼 수 있어,
,,,,,,,,,,,,4,B,"응응, 복잡한 장면도 화면해설로 이해할 수 있잖아",
,,,,,,,,,,,,5,A,넷플릭스 작품도 해설이 있으면 좋겠다,
,,,,,,,,,,,,6,B,마좌 비장애 시청자도 놓치는 부분을 해설로 보완할 수 있을 것 같아,마좌
,,,,,,,,,,,,7,A,화면해설은 장애인과 노인들도 즐길 수 있는 콘텐츠가 될 수 있어,
,,,,,,,,,,,,8,B,"응, 나도 그렇게 생각해. 모두가 함께 즐길 수 있는 콘텐츠가 중요하다고 생각해",
,,,,,,,,,,,,9,A,화면해설이 많아지면 후배들한테도 도움이 될 것 같아,
,,,,,,,,,,,,10,B,"그렇지, 화면해설 체계화에도 노력해야겠다",
,,,,,,,,,,,,11,A,화면해설로 드라마 감상하는 사람들이 많아지면 좋겠다,
,,,,,,,,,,,,12,B,맞아 화면해설은 드라마를 더욱 더 재밌게 만들어줘,
,,,,,,,,,,,,13,A,화면해설은 시각적인 요소를 명확하게 설명해줘서 좋아,
,,,,,,,,,,,,14,B,"응응, 놓치기 쉬운 부분도 해설로 알 수 있어서 좋아",
,,,,,,,,,,,,15,A,화면해설이 없으면 드라마를 이해하기가 힘들어,
,,,,,,,,,,,,16,B,화면해설은 렬루다가 필요한 콘텐츠야,렬루다가
222972,0001,남자,20,0144,여자,20,,,,콘텐츠 소비,"티파티, 샥스, 스파클링",1,A,오늘 티파티 신곡 어떰?,
,,,,,,,,,,,,2,B,ㄹㅇ? 박박이다 ㅋㅋ,박박;ㄹㅇ
,,,,,,,,,,,,3,A,샥스도 궁금해!,
,,,,,,,,,,,,4,B,샥스는 치명적인 매력이 있어,
,,,,,,,,,,,,5,A,그래서 스파클링은?,
,,,,,,,,,,,,6,B,스파클링은 청량한 소년미를 자랑해,
,,,,,,,,,,,,7,A,그룹 포스터 봄?,
,,,,,,,,,,,,8,B,물논이지! 비주얼이 너무 예뻐서 눈이 놀라!,물논
,,,,,,,,,,,,9,A,티파티는 청순하고 화사한 비주얼이야,
,,,,,,,,,,,,10,B,깨끗한 화이트톤 의상이 너무 어울려!,
,,,,,,,,,,,,11,A,샥스는 섹시하고 치명적이었지,
,,,,,,,,,,,,12,B,그래서 두 눈이 더 환하게 빛나는 거구나,
,,,,,,,,,,,,13,A,스파클링은 청량하고 사랑스럽게 나와,
,,,,,,,,,,,,14,B,세 사람의 미소가 너무 예뻐서 눈이 놀라!,
,,,,,,,,,,,,15,A,"티파티, 샥스, 스파클링 화이팅!",
,,,,,,,,,,,,16,B,화이팅이라고 써주려고 했는데 이미 써있네 ㅋㅋ,
062760,0004,여자,20,0102,남자,20,,,,콘텐츠 소비,공영방송 50주년 KBS 대하사극 '고려거란전쟁',1,A,아 요즘에 드라마 볼 게 없어~. 넘 심심하당.,
,,,,,,,,,,,,2,B,넷플이랑 디플에 드라마 엄청 쏟아져 나오잖아ㅋㅋ. 왜 볼 게 없어?,넷플;디플
,,,,,,,,,,,,3,A,내 취향인 드라마가 없어ㅠㅠ. 나 역덕이라 사극 좋아하잖아.,역덕
,,,,,,,,,,,,4,B,헐 고려거란전쟁이라고 딱 너 취향인 드라마 곧 한다던데.,
,,,,,,,,,,,,5,A,고려거란전쟁? 제목부터 넘 끌린다ㅋㅋ. 언제부터 한대?,
,,,,,,,,,,,,6,B,11월 11일부터 한다고 했으니까 1달 정도 남았다.,
,,,,,,,,,,,,7,A,혹시 방송시간은 언제야? 나 평일에는 일찍 자서 드라마 못 보는데...,
,,,,,,,,,,,,8,B,주말에 저녁 9시 25분부터 10시 45분까지 한대.,
,,,,,,,,,,,,9,A,"다행이다, 주말이면 본방 볼 수 있겠네.",본방
,,,,,,,,,,,,10,B,드라마는 본 방송 봐야 제맛이지~.,
,,,,,,,,,,,,11,A,"맞지맞지, 근데 고려거란전쟁에 어떤 배우 나와?",
,,,,,,,,,,,,12,B,"김동준, 최수종, 지승현, 이원종, 이민영 등 배우들 나온대.",
,,,,,,,,,,,,13,A,"그치, 사극이면 믿보배 최수종 나와줘야지. 근데 김동준도 사극한 적 있었나?",믿보배
,,,,,,,,,,,,14,B,ㅇㅇ 천명이랑 조선구마사라는 작품한 적 있어.,
,,,,,,,,,,,,15,A,"오 그렇구나, 김동준이랑 최수종 케미도 궁금하네. 얼른 보고싶다ㅎㅎ.",케미
,,,,,,,,,,,,16,B,재밌겠지? 역시 말해주길 잘했당ㅎㅎ.,
181883,0001,남자,20,0150,여자,20,,,,콘텐츠 소비,"유튜브, 초등생활, 문해력, 글쓰기, 학업성취도",1,A,유튜브에서 슬기로운 초등생활 보자ㅋ,
,,,,,,,,,,,,2,B,그거 이은경 선생님꺼지? 대박 추천이던데ㅋㅋ,대박
,,,,,,,,,,,,3,A,읽기 쓰기 실력이 중요하다더라,
,,,,,,,,,,,,4,B,그래서 초등 글쓰기가 입시를 결정한다는거야?,
,,,,,,,,,,,,5,A,맞아ㅋㅋ 학업성취도 평가에서도 중요하대,
,,,,,,,,,,,,6,B,문해력을 키우는 방법이 뭐가 있을까?,
,,,,,,,,,,,,7,A,글 많이 읽고 쓰는 연습이 필요하대,
,,,,,,,,,,,,8,B,양질의 언어 환경이 중요하다는데 도서관 가봐야겠다,
,,,,,,,,,,,,9,A,독서는 문해력 향상에 도움이 된다더라,
,,,,,,,,,,,,10,B,나도 내 아이들에게 독서 습관을 심어줘야겠어,
,,,,,,,,,,,,11,A,그래야 학습 능력이 높아져 입시에서 좋은 결과를 얻지,
,,,,,,,,,,,,12,B,맞아ㅠㅠ 어려운 문제도 쉽게 풀 수 있을텐데,
,,,,,,,,,,,,13,A,한글 익힘 시간을 늘려서 문해력을 강화한다더라,
,,,,,,,,,,,,14,B,글쿠나! 그러면 초등학교에서도 기초문해력을 신경써야겠다,글쿠나
,,,,,,,,,,,,15,A,그래야 나중에 중고등학교에서도 교육 수준이 높아질텐데ㅋ,
,,,,,,,,,,,,16,B,맞아ㅎㅎ 문해력은 짜짜 중요하다는 걸 느꼈어,짜짜
018991,0050,여자,30,0111,남자,30,,,,콘텐츠 소비,넷플릭스 마스크걸,1,A,얼마 전에 태블릿 샀음.ㅋㅋ,
,,,,,,,,,,,,2,B,태블릿 공부 용으로 산 거?,
,,,,,,,,,,,,3,A,열공하려고 샀는데 드라마만 엄청 본다고.ㅋㅋ,열공
,,,,,,,,,,,,4,B,웃겨. ㅋㅋ 나도 그럼. 넷플 깔아서 맨날 봄. ㅠㅠ,넷플
,,,,,,,,,,,,5,A,근데 최근 나온 넷플릭스 드라마 중에 안재홍 나오는 드라마 있다며?,
,,,,,,,,,,,,6,B,아아. 마스크걸! 8월 18일에 개봉됐는데 진짜 재밌다.ㅋㅋ,
,,,,,,,,,,,,7,A,아하. ㅋㅋ 안재홍은 어떤 역할 맡았어?,
,,,,,,,,,,,,8,B,혼자서 인터넷 방송 보는 거 좋아하는 오타쿠 캐릭터를 맡았어. ㅎㅎ 연기 진짜 잘함.ㅋㅋ,
,,,,,,,,,,,,9,A,근데 안재홍 이미지랑 매치가 잘 안되는데? ㅋㅋ 너무 어색한 거 아냐?,
,,,,,,,,,,,,10,B,노노.ㅋㅋ 이번 연기를 위해 뱃살도 넣고 대머리 가발까지 붙임. ㅋㅋ,
,,,,,,,,,,,,11,A,진짜 재밌겠다. ㅋㅋ 근데 마스크걸은 누구야?,
,,,,,,,,,,,,12,B,"마스크걸 역할도 여러명이 하거든. 이한별, 나나, 고현정이 맡게 됐어.",
,,,,,,,,,,,,13,A,어떤 내용일지 상상이 안된다.ㅎㅎ,
,,,,,,,,,,,,14,B,더이상 말하면 스포될 수 있으니까 너가 봐.ㅎㅎ,스포
,,,,,,,,,,,,15,A,오케이.ㅋㅋ 주말에 공부하고 봐야지.,
,,,,,,,,,,,,16,B,웅웅. 재밌게게 보고 공부도 잘 하장.,
271888,0001,남자,20,0142,여자,20,,,,콘텐츠 소비,로즈아나,1,A,로즈아나 노래 잘 부를 것 같아,
,,,,,,,,,,,,2,B,"응, 로즈아나 목소리 짜짜 좋아",짜짜
,,,,,,,,,,,,3,A,로즈아나 데뷔 앨범 기대돼,
,,,,,,,,,,,,4,B,나도! 로즈아나 음악이 어떨지 궁금해,
,,,,,,,,,,,,5,A,로즈아나 이미지도 예쁘게 나왔더라,
,,,,,,,,,,,,6,B,로즈아나는 독특한 음악 스타일을 추구하나봐,
,,,,,,,,,,,,7,A,로즈아나 노래 들으면 기분이 좋아질 것 같아,
,,,,,,,,,,,,8,B,마좌 로즈아나 음악은 따뜻한 갬성이 느껴져,마좌;갬성
,,,,,,,,,,,,9,A,로즈아나는 실력파 보컬리스트라서 더 기대돼,
,,,,,,,,,,,,10,B,로즈아나의 싱글앨범 발매일은 언제지?,
,,,,,,,,,,,,11,A,로즈아나의 싱글앨범은 이번 달 31일에 발표돼,
,,,,,,,,,,,,12,B,와우내 이번 주말에 들을 수 있겠네,와우내
,,,,,,,,,,,,13,A,로즈아나의 노래가 히트할 것 같아,
,,,,,,,,,,,,14,B,로즈아나가 히트곡을 많이 가지고 있으니까 가능성이 크지,
,,,,,,,,,,,,15,A,로즈아나가 가수로서 더 많이 성장할 거 같아,
,,,,,,,,,,,,16,B,로즈아나의 음악을 계속 응원할게!,
006046,0011,여자,30,0117,남자,30,,,,콘텐츠 소비,탑건: 매버릭,1,A,87년도에 이어 다시 탑건 후속으로 탑건 매버릭 찍은 탐 크루즈는 진짜 멋있는 것 같당ㅎㅎ.,
,,,,,,,,,,,,2,B,ㅋㅋ 사람들 이야기로는 탐 크루즈가 진짜 그대로라고 하던데!,
,,,,,,,,,,,,3,A,어휴. 탐 크루즈 배우는 자기 관리 엄청 대단하징!,
,,,,,,,,,,,,4,B,나도 탑건 다시 봐야겠당. 혹시 ott에서도 탑건 매버릭 볼 수 있어?,
,,,,,,,,,,,,5,A,"당근이지! 웨이브,쿠팡플레이,네이버 시리즈온, 티빙에 올라와 있어!",
,,,,,,,,,,,,6,B,나도 봐야겠당ㅎㅎ. 혹시 탑건 매버릭 영화 러닝 타임이 얼마나 돼?,
,,,,,,,,,,,,7,A,탑건 매버릭 러닝타임은 130분이야ㅎㅎ!,
,,,,,,,,,,,,8,B,ㅋㅋ엄청 짧은 영화는 아니구만. 근데 탑건 매버릭 언제 개봉한 거야?,
,,,,,,,,,,,,9,A,2022년 6월 22일에 개봉했어ㅎㅎ!,
,,,,,,,,,,,,10,B,근데 생각해보니 나 탑건1을 안 봤당. 혹시 탑건 1도 ott에서 볼 수 있나? 탑건 매버릭 이해하려면 탑건 1을 봐야할 것 같아서ㅎㅎ.,
,,,,,,,,,,,,11,A,탑건 1편은 웨이브에서 볼 수 있어!,
,,,,,,,,,,,,12,B,아이고 감사합니당ㅋㅋ. 근데 탑건 매버릭은 탑건 1하고 똑같은 감독이 만든 거야?,
,,,,,,,,,,,,13,A,아냐ㅠㅠ. 탑건 1 감독 토니 스콧은 돌아가셔서 새로운 감독님이 만드심. 조셉 코신스키 감독이 탑건 매버릭 만드렀어!,
,,,,,,,,,,,,14,B,ㅠㅠ 그런 일이 있었구만. 에효 탑건 1 이후로 레알 시간이 많이 흐르긴 흘렀네.,레알
,,,,,,,,,,,,15,A,마자ㅠㅠ 거의 30년 뒤에 탑건 속편이 나온 거니까!,
,,,,,,,,,,,,16,B,그러네. 탑건 1 보고 탑건 매버릭까지 보면 주말 순삭되겠당. 영화 알려줘서 고마워!,순삭
202279,0001,남자,20,0143,여자,20,,,,콘텐츠 소비,아인슈타인,1,A,컴퓨터 게임 좋아해?,
,,,,,,,,,,,,2,B,"응, 좋아하지!",
,,,,,,,,,,,,3,A,아인슈타인 알아?,
,,,,,,,,,,,,4,B,"그렇지, 상대성이론으로 핫해!",핫하다
,,,,,,,,,,,,5,A,상상력도 대단하더라,
,,,,,,,,,,,,6,B,마좌 그 사람이 많은 명언을 남겼어,마좌
,,,,,,,,,,,,7,A,문제해결에 대해서도 알려져 있어,
,,,,,,,,,,,,8,B,"나에게 문제를 풀 한 시간이 주어진다면, 55분간 문제를 생각하고, 5분간 해법을 생각하겠다고 했지",
,,,,,,,,,,,,9,A,리처드 파인만도 대표적인 과학자지,
,,,,,,,,,,,,10,B,웅웅 양자전기역학 분야에서 노벨상을 받았어,웅웅
,,,,,,,,,,,,11,A,리처드 파인만은 농담도 잘해!,
,,,,,,,,,,,,12,B,레알? 재미있는 사람인가봐,레알
,,,,,,,,,,,,13,A,문제를 적고 생각하고 답을 적어,
,,,,,,,,,,,,14,B,웃기는 방법이네,
,,,,,,,,,,,,15,A,하지만 실제로 해보면 쉽지 않아,
,,,,,,,,,,,,16,B,"그렇지, 문제 푸는 것도 어려워",
020239,0077,여자,20,0102,남자,20,,,,콘텐츠 소비,유튜버 땅끄부부,1,A,와 유튜브에 갑자기 사라진 유튜버가 있더라 ㅠㅠ,
,,,,,,,,,,,,2,B,레알? 누구야? 근황이 어떻게 되는 거야?,레알
,,,,,,,,,,,,3,A,"땅끄부부라는 운동 유튜버인데, 공황장애때문에 2년간 잠적했대",
,,,,,,,,,,,,4,B,올만에 근황을 공개했다는 소식 들음?,올만
,,,,,,,,,,,,5,A,맞아 유튜브 채널에 글을 게재했대. 렬루다가 오랜만이라고 하더라,렬루다가
,,,,,,,,,,,,6,B,왜 그렇게 올만에 나타났을까? 이유가 있을까?,올만
,,,,,,,,,,,,7,A,"영상에서는 긍정적인 모습을 보여주기 위해서였는데, 실제로는 마음과 몸이 힘들어지기 시작했다고 해",
,,,,,,,,,,,,8,B,코로나19 때문에 집에만 있었던 것도 힘들게 만들었겠지,
,,,,,,,,,,,,9,A,마좌 집에 오래 있다 보니까 강박증과 공황장애까지 심해져서 사람들을 피하게 됐대,마좌
,,,,,,,,,,,,10,B,그래서 아무에게도 말하지 못하고 혼자 고민하고 있었던 거야?,
,,,,,,,,,,,,11,A,ㅇㅇ 건강한 모습만 보여줘야 한다는 강박 때문에 다른 사람들에게 털어놓지 못했어,
,,,,,,,,,,,,12,B,짜짜 힘들었겠다. 근데 지금은 어떻게 지내고 있어?,짜짜
,,,,,,,,,,,,13,A,지금은 아무 목적도 없는 길을 떠나서 살아가고 있대. 마음과 몸이 회복되지 않으면 아무 의미가 없다고 생각한대,
,,,,,,,,,,,,14,B,그래도 너무 올만에 돌아왔으니까 기뻐할 일이야,올만
,,,,,,,,,,,,15,A,"응, 그렇지. 지금은 웃을 수 있고 건강한 모습을 보여줄 수 있어서 행복해",
,,,,,,,,,,,,16,B,언제나 응원할게! 계속해서 좋은 영상 만들어줘!,
272055,0001,남자,20,0141,여자,20,,,,콘텐츠 소비,"한효주, 박형식, 조우진",1,A,"한효주, 박형식, 조우진 출연한 드라마에 대해 얘기하자!",
,,,,,,,,,,,,2,B,그 드라마 어제 첨 봤는데 너무 재밌더라 ㅋㅋ,
,,,,,,,,,,,,3,A,짜짜? 어떤 내용이었어?,짜짜
,,,,,,,,,,,,4,B,근미래의 아파트에서 벌어지는 이야기였어 ㅎㅎ,
,,,,,,,,,,,,5,A,와 글쿠나! 그러면 배우들 연기는 어땠어?,글쿠나
,,,,,,,,,,,,6,B,한효주 연기가 레알루다가 대단했어 ㅠㅠ,레알
,,,,,,,,,,,,7,A,한효주는 항상 연기 잘하더라,
,,,,,,,,,,,,8,B,맞아 맞아 그리고 박형식도 매력적으로 연기했어,
,,,,,,,,,,,,9,A,박형식은 항상 다양한 캐릭터를 소화하더라,
,,,,,,,,,,,,10,B,렬루다가 대단한 배우들이었어,렬루다가
,,,,,,,,,,,,11,A,그러면 조우진 연기는 어땠어?,
,,,,,,,,,,,,12,B,조우진은 감염병 사태를 이끌어가는 역할을 열심히 했어,
,,,,,,,,,,,,13,A,멋지다! 그러면 극본은 어땠어?,
,,,,,,,,,,,,14,B,극본도 흥미진진하고 긴장감 넘치는 내용이었어,
,,,,,,,,,,,,15,A,레알 기대되는 드라마인 것 같아!,레알
,,,,,,,,,,,,16,B,"응, 나도 계속 보고 싶어!",
122165,0089,여자,30,0117,남자,30,,,,콘텐츠 소비,위메이드 엔터테인먼트,1,A,충공! 와! 위메이드 엔터테인먼트 대표 신년 인터뷰 봤어?,충공
,,,,,,,,,,,,2,B,"응, 봤는데 장현국 대표가 2017년을 바쁘게 보냈다고 하더라",
,,,,,,,,,,,,3,A,그래? 뭐 특별한 이야기 있었어?,
,,,,,,,,,,,,4,B,2017년에는 중국에서 미르의전설2  IP 사업을 진행하고 한국에서는 위메이드 자회사들의 신규 게임을 챙겨야 했다고 해,
,,,,,,,,,,,,5,A,이번에는 이카루스M과 미르의전설4(미르모바일) 로 한국과 글로벌 시장을 겨냥한다고 하더라,
,,,,,,,,,,,,6,B,그래? '미르' IP 사업은 연 수익 2000억원 이상을 목표로 하고 있다고 하더라,
,,,,,,,,,,,,7,A,대표의 2018년 계획과 포부는 어떤 거였어?,
,,,,,,,,,,,,8,B,"아직은 알려주지 않았지만, 계속해서 성과를 누적하며 방향을 잡아가겠다고 했어",
,,,,,,,,,,,,9,A,그래서 2017년 회사의 목표는 달성했을까?,
,,,,,,,,,,,,10,B,"목표는 IP 사업을 정착시키고 신작 개발에 매진하는 게었는데, 성과는 아직 충분하지 않았다고 하더라",
,,,,,,,,,,,,11,A,근데 방향은 맞았다고 생각하고 있구나,
,,,,,,,,,,,,12,B,그렇지! 차근차근 진행하면서 성과를 누적하고 있으니까 어려운 상황에서도 잘해냈다고 생각해,
,,,,,,,,,,,,13,A,위메이드가 해야 할 일을 해낸 1 년이었구나,
,,,,,,,,,,,,14,B,킹치만 아직은 만족스럽지 않아,킹치만
,,,,,,,,,,,,15,A,근데 앞으로도 계속해서 성과를 내기 위해 노력하겠지?,
,,,,,,,,,,,,16,B,그렇지! 앞으로도 더 좋은 결과를 만들어내기 위해 노력할 거야,
039081,0039,남자,20,0141,여자,20,,,,콘텐츠 소비,가문의 영광: 리턴즈,1,A,요즘 집에만 있으니까 너무 심심하다 ㅠㅠ.,
,,,,,,,,,,,,2,B,"ㅇㅈ. 나도 더워서 집콕 중인데, 너무 지루해.",집콕
,,,,,,,,,,,,3,A,나가서 뭐 할만한 거 없나?,
,,,,,,,,,,,,4,B,"더운데 야외 활동 하지 말고, 영화나 보러 갈래?",
,,,,,,,,,,,,5,A,요즘 뭐 재밌는 영화 있음?,
,,,,,,,,,,,,6,B,"가문의 영광 리턴즈 나왔던데, 재밌어 보이더라.",
,,,,,,,,,,,,7,A,"오~ 대박. 나 그거 옛날에 엄청 좋아했는데, 그래서 언제 개봉하는 거임?",
,,,,,,,,,,,,8,B,올 9월 21일에 개봉할 예정이래.,
,,,,,,,,,,,,9,A,글쿤. 상영 시간은 얼마나 됌?,글쿤
,,,,,,,,,,,,10,B,총 1시간 39분 13초라고 나와있음.,
,,,,,,,,,,,,11,A,시간 적당하네. 그래서 배우는 누구 나옴?,
,,,,,,,,,,,,12,B,"김수미, 탁재훈, 정준하, 추성훈 나온대.",
,,,,,,,,,,,,13,A,"오~ 추억의 배우들 많이 나오네 ㅋㅋ. 근데 나 이거 동생도 데려가고 싶은데, 혹시 몇세이용가임?",
,,,,,,,,,,,,14,B,15세 이용가임. 아쉽게도 동생은 못 데려감 ㅠㅠ.,
,,,,,,,,,,,,15,A,ㅠㅠ 아쉽다. 그럼 둘이 보러 가자. 언제 보러 갈래?,
,,,,,,,,,,,,16,B,나 언제 시간 되는지 확인 해보고 다시 연락줄게.,
,,,,,,,,,,,,17,A,그래. 그럼 천천히 확인 해보고 연락줘. 그럼 이따 보자 ㅂ2~.,
130280,0094,여자,30,0115,남자,30,,,,콘텐츠 소비,오월의 청춘,1,A,오월의 청춘 너무 재밌어!,
,,,,,,,,,,,,2,B,짜짜? 나도 보고 싶은데 시간이 없어서 못 봤어 ㅠㅠ,짜짜
,,,,,,,,,,,,3,A,너무 까비다 ㅠㅠ 어제 방송에서 이도현과 고민시 사이에 균열이 생겼어,까비
,,,,,,,,,,,,4,B,어떤 균열이야? 이도현이 고민시에게 고백했는데,
,,,,,,,,,,,,5,A,그래도 고민시가 대답을 못 했어. 황희태가 트라우마를 유발하는 사건을 목격해서 괴로워하더라고,
,,,,,,,,,,,,6,B,"아이고, 그러면 이도현은 어떻게 되는 거야?",
,,,,,,,,,,,,7,A,황희태는 의사 자격이 없다고 해서 더 괴로워하고 있어,
,,,,,,,,,,,,8,B,고민시는 황희태를 위로하며 보듬었을까?,
,,,,,,,,,,,,9,A,"ㅇㅋㅇㅋ 김명희는 '자기 마음 다 망가지도록 책임감 가지는 사람, 참말로 흔치 않거든요'라며 황희태를 위로했어",
,,,,,,,,,,,,10,B,그래도 이도현과 고민시 사이에 균열이 생긴 건 안 좋은 일이네,
,,,,,,,,,,,,11,A,맞아 이도현과 고민시가 서로 다가갈 수 없는 상황이라니 너무 아쉬워,
,,,,,,,,,,,,12,B,근데 계속해서 보면 균열이 해결될 수도 있을 거야,
,,,,,,,,,,,,13,A,그렇길 바라야지. 오월의 청춘은 아직 4회까지 나왔으니까 더 기대해봐야겠어,
,,,,,,,,,,,,14,B,ㅇㅋㅇㅋ 나도 시간을 내서 꼭 보고 싶어!,
,,,,,,,,,,,,15,A,그러면 같이 보면서 얘기 나누자!,
,,,,,,,,,,,,16,B,굿굿! 오월의 청춘으로 힐링하자 ㅎㅎ,
021465,0078,여자,20,0102,남자,20,,,,콘텐츠 소비,라디오스타,1,A,라디오스타 어제 봤어?,
,,,,,,,,,,,,2,B,"응, 배윤정 출연한 거지?",
,,,,,,,,,,,,3,A,맞아 그리고 이효리랑 전화했다고 해,
,,,,,,,,,,,,4,B,레알? 머박이네 ㅋㅋ,머박;레알
,,,,,,,,,,,,5,A,"응, 배윤정이 전화 받고 울었다고 해",
,,,,,,,,,,,,6,B,와 그렇게 감동적인 이야기였어?,
,,,,,,,,,,,,7,A,"응, 그리고 배윤정은 무대 위에서 부상까지 숨겼대",
,,,,,,,,,,,,8,B,레알 대단한 사람인 것 같아,레알
,,,,,,,,,,,,9,A,마좌 그리고 댄스가수 유랑단에 출연했대,마좌
,,,,,,,,,,,,10,B,댄스가수 유랑단도 꽤 유명한 거 같아,
,,,,,,,,,,,,11,A,"응, 그리고 배윤정은 이효리와 같이 무대에 서왔대",
,,,,,,,,,,,,12,B,와 그러면 오랜 인연인 거구나,
,,,,,,,,,,,,13,A,배윤정은 이효리와 같이 무대에 서면서 감동을 받았대,
,,,,,,,,,,,,14,B,렬루다가 멋진 경험이었겠다,렬루다가
,,,,,,,,,,,,15,A,"응, 그리고 무대에서 열정을 불태웠대",
,,,,,,,,,,,,16,B,배윤정 짜짜 대다나다!,짜짜
084447,0094,여자,30,0120,남자,30,,,,콘텐츠 소비,미나리,1,A,미나리 영화 재밌었어?,
,,,,,,,,,,,,2,B,응! 너무 재밌었어 ㅋㅋ,
,,,,,,,,,,,,3,A,한예리 연기 짜짜 머박이었지?,머박;짜짜
,,,,,,,,,,,,4,B,그래! 한예리 연기 실력 대단해 ㅠㅠ,
,,,,,,,,,,,,5,A,미나리가 외국어영화상 받았다는데 레게노다,레게노
,,,,,,,,,,,,6,B,맞아! 미나리는 렬루 대단한 영화야,렬루
,,,,,,,,,,,,7,A,미나리 보고 나서 한식 먹고 싶어졌어,
